Designator,Mid X,Mid Y,Rotation,Layer
GND1_2,44.93,-31.78,0.0,top
GND1,70.33,-31.78,0.0,top
IDE_STM_A1_8,77.93,-86.87,180.0,top
IDE_STM_A1_7,72.87,-12.73,0.0,top
IDE_STM_A1_6,52.53,-86.87,180.0,top
IDE_STM_A1_5,1.73,-86.87,180.0,top
IDE_STM_A1_4,98.27,-12.73,0.0,top
IDE_STM_A1_3,27.13,-86.87,180.0,top
IDE_STM_A1_2,22.07,-12.73,0.0,top
IDE_STM_A1,47.47,-12.73,0.0,top
IDE_STM_B1_8,27.13,-62.3995,180.0,top
IDE_STM_B1_7,52.53,-62.3995,180.0,top
IDE_STM_B1_6,77.93,-62.3995,180.0,top
IDE_STM_B1_5,47.47,-37.2005,0.0,top
IDE_STM_B1_4,98.27,-37.2005,0.0,top
IDE_STM_B1_3,1.73,-62.3995,180.0,top
IDE_STM_B1_2,22.07,-37.2005,0.0,top
IDE_STM_B1,72.87,-37.2005,0.0,top
IDE_STM_C1_8,47.45,-86.87,180.0,top
IDE_STM_C1_7,77.95,-12.73,0.0,top
IDE_STM_C1_6,98.25,-86.87,180.0,top
IDE_STM_C1_5,52.55,-12.73,0.0,top
IDE_STM_C1_4,72.85,-86.87,180.0,top
IDE_STM_C1_3,1.75,-12.73,0.0,top
IDE_STM_C1_2,22.05,-86.87,180.0,top
IDE_STM_C1,27.15,-12.73,0.0,top
IDE_STM_D1_8,1.75,-37.1887,0.0,top
IDE_STM_D1_7,52.55,-37.1887,0.0,top
IDE_STM_D1_6,47.45,-62.4113,180.0,top
IDE_STM_D1_5,22.05,-62.4113,180.0,top
IDE_STM_D1_4,98.25,-62.4113,180.0,top
IDE_STM_D1_3,27.15,-37.1887,0.0,top
IDE_STM_D1_2,72.85,-62.4113,180.0,top
IDE_STM_D1,77.95,-37.1887,0.0,top
JLED1_8,90.65,-14.0,0.0,top
JLED1_7,65.25,-14.0,0.0,top
JLED1_6,85.55,-85.6,180.0,top
JLED1_5,60.15,-85.6,180.0,top
JLED1_4,14.45,-14.0,0.0,top
JLED1_3,34.75,-85.6,180.0,top
JLED1_2,39.85,-14.0,0.0,top
JLED1,9.35,-85.6,180.0,top
JPUUSB1_8,42.39,-14.0,0.0,top
JPUUSB1_7,6.81,-85.6,180.0,top
JPUUSB1_6,16.99,-14.0,0.0,top
JPUUSB1_5,83.01,-85.6,180.0,top
JPUUSB1_4,57.61,-85.6,180.0,top
JPUUSB1_3,67.79,-14.0,0.0,top
JPUUSB1_2,32.21,-85.6,180.0,top
JPUUSB1,93.19,-14.0,0.0,top
JRST1_8,34.75,-57.66,180.0,top
JRST1_7,65.25,-41.94,0.0,top
JRST1_6,90.65,-41.94,0.0,top
JRST1_5,39.85,-41.94,0.0,top
JRST1_4,14.45,-41.94,0.0,top
JRST1_3,60.15,-57.66,180.0,top
JRST1_2,9.35,-57.66,180.0,top
JRST1,85.55,-57.66,180.0,top
JSH1_8,16.99,-41.94,0.0,top
JSH1_7,32.21,-57.66,180.0,top
JSH1_6,57.61,-57.66,180.0,top
JSH1_5,6.81,-57.66,180.0,top
JSH1_4,67.79,-41.94,0.0,top
JSH1_3,93.19,-41.94,0.0,top
JSH1_2,42.39,-41.94,0.0,top
JSH1,83.01,-57.66,180.0,top
