Designator,Footprint,Quantity,Value,LCSC Part #
"KIKIT_MB_10_1, KIKIT_MB_10_2, KIKIT_MB_10_3, KIKIT_MB_10_4, KIKIT_MB_10_5, KIKIT_MB_10_6, KIKIT_MB_10_7, KIKIT_MB_11_1, KIKIT_MB_11_2, KIKIT_MB_11_3, KIKIT_MB_11_4, KIKIT_MB_11_5, KIKIT_MB_11_6, KIKIT_MB_11_7, KIKIT_MB_12_1, KIKIT_MB_12_2, KIKIT_MB_12_3, KIKIT_MB_12_4, KIKIT_MB_12_5, KIKIT_MB_12_6, KIKIT_MB_12_7, KIKIT_MB_13_1, KIKIT_MB_13_2, KIKIT_MB_13_3, KIKIT_MB_13_4, KIKIT_MB_13_5, KIKIT_MB_13_6, KIKIT_MB_13_7, KIKIT_MB_14_1, KIKIT_MB_14_2, KIKIT_MB_14_3, KIKIT_MB_14_4, KIKIT_MB_14_5, KIKIT_MB_14_6, KIKIT_MB_14_7, KIKIT_MB_15_1, KIKIT_MB_15_2, KIKIT_MB_15_3, KIKIT_MB_15_4, KIKIT_MB_15_5, KIKIT_MB_15_6, KIKIT_MB_15_7, KIKIT_MB_16_1, KIKIT_MB_16_2, KIKIT_MB_16_3, KIKIT_MB_16_4, KIKIT_MB_16_5, KIKIT_MB_16_6, KIKIT_MB_16_7, KIKIT_MB_17_1, KIKIT_MB_17_2, KIKIT_MB_17_3, KIKIT_MB_17_4, KIKIT_MB_17_5, KIKIT_MB_17_6, KIKIT_MB_17_7, KIKIT_MB_18_1, KIKIT_MB_18_2, KIKIT_MB_18_3, KIKIT_MB_18_4, KIKIT_MB_18_5, KIKIT_MB_18_6, KIKIT_MB_18_7, KIKIT_MB_19_1, KIKIT_MB_19_2, KIKIT_MB_19_3, KIKIT_MB_19_4, KIKIT_MB_19_5, KIKIT_MB_19_6, KIKIT_MB_19_7, KIKIT_MB_1_1, KIKIT_MB_1_2, KIKIT_MB_1_3, KIKIT_MB_1_4, KIKIT_MB_1_5, KIKIT_MB_1_6, KIKIT_MB_1_7, KIKIT_MB_20_1, KIKIT_MB_20_2, KIKIT_MB_20_3, KIKIT_MB_20_4, KIKIT_MB_20_5, KIKIT_MB_20_6, KIKIT_MB_20_7, KIKIT_MB_21_1, KIKIT_MB_21_2, KIKIT_MB_21_3, KIKIT_MB_21_4, KIKIT_MB_21_5, KIKIT_MB_21_6, KIKIT_MB_21_7, KIKIT_MB_22_1, KIKIT_MB_22_2, KIKIT_MB_22_3, KIKIT_MB_22_4, KIKIT_MB_22_5, KIKIT_MB_22_6, KIKIT_MB_22_7, KIKIT_MB_23_1, KIKIT_MB_23_2, KIKIT_MB_23_3, KIKIT_MB_23_4, KIKIT_MB_23_5, KIKIT_MB_23_6, KIKIT_MB_23_7, KIKIT_MB_24_1, KIKIT_MB_24_2, KIKIT_MB_24_3, KIKIT_MB_24_4, KIKIT_MB_24_5, KIKIT_MB_24_6, KIKIT_MB_24_7, KIKIT_MB_25_1, KIKIT_MB_25_2, KIKIT_MB_25_3, KIKIT_MB_25_4, KIKIT_MB_25_5, KIKIT_MB_25_6, KIKIT_MB_25_7, KIKIT_MB_26_1, KIKIT_MB_26_2, KIKIT_MB_26_3, KIKIT_MB_26_4, KIKIT_MB_26_5, KIKIT_MB_26_6, KIKIT_MB_26_7, KIKIT_MB_27_1, KIKIT_MB_27_2, KIKIT_MB_27_3, KIKIT_MB_27_4, KIKIT_MB_27_5, KIKIT_MB_27_6, KIKIT_MB_27_7, KIKIT_MB_28_1, KIKIT_MB_28_2, KIKIT_MB_28_3, KIKIT_MB_28_4, KIKIT_MB_28_5, KIKIT_MB_28_6, KIKIT_MB_28_7, KIKIT_MB_29_1, KIKIT_MB_29_2, KIKIT_MB_29_3, KIKIT_MB_29_4, KIKIT_MB_29_5, KIKIT_MB_29_6, KIKIT_MB_29_7, KIKIT_MB_2_1, KIKIT_MB_2_2, KIKIT_MB_2_3, KIKIT_MB_2_4, KIKIT_MB_2_5, KIKIT_MB_2_6, KIKIT_MB_2_7, KIKIT_MB_30_1, KIKIT_MB_30_2, KIKIT_MB_30_3, KIKIT_MB_30_4, KIKIT_MB_30_5, KIKIT_MB_30_6, KIKIT_MB_30_7, KIKIT_MB_31_1, KIKIT_MB_31_2, KIKIT_MB_31_3, KIKIT_MB_31_4, KIKIT_MB_31_5, KIKIT_MB_31_6, KIKIT_MB_31_7, KIKIT_MB_32_1, KIKIT_MB_32_2, KIKIT_MB_32_3, KIKIT_MB_32_4, KIKIT_MB_32_5, KIKIT_MB_32_6, KIKIT_MB_32_7, KIKIT_MB_3_1, KIKIT_MB_3_2, KIKIT_MB_3_3, KIKIT_MB_3_4, KIKIT_MB_3_5, KIKIT_MB_3_6, KIKIT_MB_3_7, KIKIT_MB_4_1, KIKIT_MB_4_2, KIKIT_MB_4_3, KIKIT_MB_4_4, KIKIT_MB_4_5, KIKIT_MB_4_6, KIKIT_MB_4_7, KIKIT_MB_5_1, KIKIT_MB_5_2, KIKIT_MB_5_3, KIKIT_MB_5_4, KIKIT_MB_5_5, KIKIT_MB_5_6, KIKIT_MB_5_7, KIKIT_MB_6_1, KIKIT_MB_6_2, KIKIT_MB_6_3, KIKIT_MB_6_4",NPTH,200,NPTH,
"KIKIT_MB_6_5, KIKIT_MB_6_6, KIKIT_MB_6_7, KIKIT_MB_7_1, KIKIT_MB_7_2, KIKIT_MB_7_3, KIKIT_MB_7_4, KIKIT_MB_7_5, KIKIT_MB_7_6, KIKIT_MB_7_7, KIKIT_MB_8_1, KIKIT_MB_8_2, KIKIT_MB_8_3, KIKIT_MB_8_4, KIKIT_MB_8_5, KIKIT_MB_8_6, KIKIT_MB_8_7, KIKIT_MB_9_1, KIKIT_MB_9_2, KIKIT_MB_9_3, KIKIT_MB_9_4, KIKIT_MB_9_5, KIKIT_MB_9_6, KIKIT_MB_9_7",NPTH,24,NPTH,
"L1_8, L1_7, L1_6, L1_5, L1_4, L1_3, L1_2, L1",L0805,8,100Ω@100MHz,C1015
"LED1_8, LED1_7, LED1_6, LED1_5, LED1_4, LED1_3, LED1_2, LED1",LED0805-R-RD,8,Green,C2297
"LVSSA1_8, LVSSA1_7, LVSSA1_6, LVSSA1_5, LVSSA1_4, LVSSA1_3, LVSSA1_2, LVSSA1",L0402,8,15-30nH,C27143
"MCU1_8, MCU1_7, MCU1_6, MCU1_5, MCU1_4, MCU1_3, MCU1_2, MCU1",LQFP-48_L7.0-W7.0-P0.50-LS9.0-BL,8,STM32F103C8T6,C8734
"RGB1_8, RGB1_7, RGB1_6, RGB1_5, RGB1_4, RGB1_3, RGB1_2, RGB1, RGB2_8, RGB2_7, RGB2_6, RGB2_5, RGB2_4, RGB2_3, RGB2_2, RGB2",LED-SMD_4P-L5.0-W5.0-TL-1,16,LED WS2812B,C22461793
"RLED1_8, RLED1_7, RLED1_6, RLED1_5, RLED1_4, RLED1_3, RLED1_2, RLED1",R0402,8,1k-1.5k,C11702
"RPD1_8, RPD1_7, RPD1_6, RPD1_5, RPD1_4, RPD1_3, RPD1_2, RPD1, RPU1_8, RPU1_7, RPU1_6, RPU1_5, RPU1_4, RPU1_3, RPU1_2, RPU1",R0402,16,10kΩ,C25744
"RPUBOOT1_8, RPUBOOT1_7, RPUBOOT1_6, RPUBOOT1_5, RPUBOOT1_4, RPUBOOT1_3, RPUBOOT1_2, RPUBOOT1, RVBUSI1_8, RVBUSI1_7, RVBUSI1_6, RVBUSI1_5, RVBUSI1_4, RVBUSI1_3, RVBUSI1_2, RVBUSI1",R0402,16,51kΩ,C25794
"RPUUSB1_8, RPUUSB1_7, RPUUSB1_6, RPUUSB1_5, RPUUSB1_4, RPUUSB1_3, RPUUSB1_2, RPUUSB1",R0402,8,1.5kΩ,C25867
"RSCL1_8, RSCL1_7, RSCL1_6, RSCL1_5, RSCL1_4, RSCL1_3, RSCL1_2, RSCL1, RSDA1_8, RSDA1_7, RSDA1_6, RSDA1_5, RSDA1_4, RSDA1_3, RSDA1_2, RSDA1",R0402,16,2.2kΩ,C25879
"RVBUSO1_8, RVBUSO1_7, RVBUSO1_6, RVBUSO1_5, RVBUSO1_4, RVBUSO1_3, RVBUSO1_2, RVBUSO1",R0402,8,100kΩ,C25741
"SW1_8, SW1_7, SW1_6, SW1_5, SW1_4, SW1_3, SW1_2, SW1, SW2_8, SW2_7, SW2_6, SW2_5, SW2_4, SW2_3, SW2_2, SW2",SW-SMD_4P-L5.1-W5.1-P3.70-LS6.5-TL_H1.5,16,Tactile Switch,C318884
"U1_8, U1_7, U1_6, U1_5, U1_4, U1_3, U1_2, U1",SOT-23-3_L2.9-W1.6-P1.90-LS2.8-BR,8,3.3V Voltage Regulator 200mA,C5446
"USB1_8, USB1_7, USB1_6, USB1_5, USB1_4, USB1_3, USB1_2, USB1",USB-C_SMD-TYPE-C-31-M-12,8,USB_C,C2927038
"X1_8, X1_7, X1_6, X1_5, X1_4, X1_3, X1_2, X1",CRYSTAL-SMD_4P-L3.2-W2.5-BL,8,Crystal 12MHz X322512MSB4SI,C9002
